alpha,beta_s,q_s,tau_rel,tau_abs_q,null_K,g_accuracy_exact,g_precision,g_recall,g_f1,g_jaccard,g_hallucination_rate,g_omission_rate,s_accuracy_exact,s_precision,s_recall,s_f1,s_jaccard,s_hallucination_rate,s_omission_rate,phantom_index,margin
0.02,0.10,2,0.58,0.90,8,0.44666666666666666,0.8855555555555557,0.7777777777777778,0.7931111111111114,0.7122222222222223,0.11444444444444443,0.22222222222222224,0.43333333333333335,0.87,0.7722222222222224,0.7824444444444446,0.7022222222222223,0.12999999999999998,0.22777777777777777,0.12606943288343286,0.10472812889670013
0.02,0.10,2,0.58,0.90,0,0.44666666666666666,0.8855555555555557,0.7777777777777778,0.7931111111111114,0.7122222222222223,0.11444444444444443,0.22222222222222224,0.43333333333333335,0.87,0.7722222222222224,0.7824444444444446,0.7022222222222223,0.12999999999999998,0.22777777777777777,0.12606943288343286,0.10472812889670013
0.02,0.10,2,0.58,0.92,8,0.44666666666666666,0.8855555555555557,0.7777777777777778,0.7931111111111114,0.7122222222222223,0.11444444444444443,0.22222222222222224,0.43333333333333335,0.87,0.7722222222222224,0.7824444444444446,0.7022222222222223,0.12999999999999998,0.22777777777777777,0.12606943288343286,0.10472812889670013
0.02,0.10,2,0.58,0.92,0,0.44666666666666666,0.8855555555555557,0.7777777777777778,0.7931111111111114,0.7122222222222223,0.11444444444444443,0.22222222222222224,0.43333333333333335,0.87,0.7722222222222224,0.7824444444444446,0.7022222222222223,0.12999999999999998,0.22777777777777777,0.12606943288343286,0.10472812889670013
0.02,0.10,2,0.60,0.90,8,0.43333333333333335,0.8877777777777779,0.7633333333333334,0.7835555555555558,0.7,0.11222222222222224,0.2366666666666666,0.43333333333333335,0.87,0.7722222222222224,0.7824444444444446,0.7022222222222223,0.12999999999999998,0.22777777777777777,0.12606943288343286,0.10472812889670013
0.02,0.10,2,0.60,0.90,0,0.43333333333333335,0.8877777777777779,0.7633333333333334,0.7835555555555558,0.7,0.11222222222222224,0.2366666666666666,0.43333333333333335,0.87,0.7722222222222224,0.7824444444444446,0.7022222222222223,0.12999999999999998,0.22777777777777777,0.12606943288343286,0.10472812889670013
0.02,0.10,2,0.60,0.92,8,0.43333333333333335,0.8877777777777779,0.7633333333333334,0.7835555555555558,0.7,0.11222222222222224,0.2366666666666666,0.43333333333333335,0.87,0.7722222222222224,0.7824444444444446,0.7022222222222223,0.12999999999999998,0.22777777777777777,0.12606943288343286,0.10472812889670013
0.02,0.10,2,0.60,0.92,0,0.43333333333333335,0.8877777777777779,0.7633333333333334,0.7835555555555558,0.7,0.11222222222222224,0.2366666666666666,0.43333333333333335,0.87,0.7722222222222224,0.7824444444444446,0.7022222222222223,0.12999999999999998,0.22777777777777777,0.12606943288343286,0.10472812889670013
0.02,0.20,2,0.58,0.90,8,0.44666666666666666,0.8855555555555557,0.7777777777777778,0.7931111111111114,0.7122222222222223,0.11444444444444443,0.22222222222222224,0.43333333333333335,0.87,0.7722222222222224,0.7824444444444446,0.7022222222222223,0.12999999999999998,0.22777777777777777,0.12606943288343286,0.10472812889670013
0.02,0.20,2,0.58,0.90,0,0.44666666666666666,0.8855555555555557,0.7777777777777778,0.7931111111111114,0.7122222222222223,0.11444444444444443,0.22222222222222224,0.43333333333333335,0.87,0.7722222222222224,0.7824444444444446,0.7022222222222223,0.12999999999999998,0.22777777777777777,0.12606943288343286,0.10472812889670013
