sample,true,keep,order,ok,grid,precision,recall,f1,jaccard,hallucination,omission,margin_mu,margin_min,PI
1,flip_h|rotate|flip_v,rotate,rotate,1,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.058666196271818606,-0.17599858881545583,0.9730639730639731
2,rotate|flip_v,flip_h,flip_h,0,0.15625,0.0,0.0,0.0,0.0,1.0,1.0,-0.018510828220464237,-0.2871124867597379,0.950354609929078
3,flip_v|flip_h,flip_h,flip_h,0,0.15625,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,0.0,-0.20538426035644264,0.9385342789598109
4,flip_h|flip_v,flip_h,flip_h,0,0.15625,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,-0.37015709302145394,-0.5071926020214397,0.9331550802139037
5,flip_v|flip_h,flip_h,flip_h,0,0.15625,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,0.0,-0.9018351274712382,0.9246119733924612
6,flip_h|rotate,rotate,rotate,0,0.125,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,0.0,-0.13069949183795337,0.9524886877828054
7,rotate|flip_v|flip_h,flip_v,flip_v,0,0.3125,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.1315879968759018,-0.3947639906277054,0.9061728395061729
8,flip_v|rotate|flip_h,rotate,rotate,1,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.10730553225783179,-0.3219165967734954,0.980327868852459
9,flip_v,flip_h,flip_h,0,0.1875,0.0,0.0,0.0,0.0,1.0,1.0,0.37956054312000287,0.37956054312000287,0.9376146788990826
10,rotate|flip_v|flip_h,flip_v,flip_v,0,0.3125,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.041320169894663174,-0.12396050968398953,0.9246753246753247
11,rotate,rotate|flip_v,rotate|flip_v,0,0.1875,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,-0.23406490003362102,-0.23406490003362102,0.9521072796934866
12,rotate|flip_v|flip_h,flip_h,flip_h,0,0.21875,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.1188785206769684,-0.3566355620309052,0.9248704663212435
13,flip_h|rotate|flip_v,flip_h,flip_h,0,0.125,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.04888998305935063,-0.14666994917805187,0.9171122994652406
14,rotate,rotate,rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.22108109690698985,-0.22108109690698985,0.9487704918032787
15,rotate|flip_v,rotate,rotate,0,0.125,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,0.0,-0.041116660567108276,0.9373219373219374
16,flip_h|rotate|flip_v,flip_h,flip_h,0,0.28125,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.02872603628927776,-0.08617810886783328,0.9757785467128027
17,flip_h|rotate|flip_v,rotate,rotate,1,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.1564727109676293,-0.4694181329028879,0.9648093841642229
18,flip_h|rotate|flip_v,flip_h,flip_h,0,0.28125,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.20384852568671885,-0.6115455770601566,0.9422492401215805
19,flip_h|rotate,flip_h,flip_h,0,0.15625,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,-0.7194561379944537,-0.7466057844199643,0.9627659574468085
20,flip_v|flip_h,flip_v,flip_v,0,0.1875,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,-0.20573095181565515,-0.2669743754574192,0.9711538461538461
21,flip_h|flip_v,flip_v,flip_v,0,0.21875,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,0.0,-0.10046396108743672,0.9403973509933775
22,rotate|flip_h|flip_v,flip_h,flip_h,0,0.34375,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.0672473191373489,-0.2017419574120467,0.9675324675324676
23,flip_h,flip_h,flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.26241688734759716,0.26241688734759716,0.9184549356223176
24,flip_v|rotate,flip_h,flip_h,0,0.15625,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.45645230831897,0.9364035087719298
25,flip_v|rotate|flip_h,flip_v,flip_v,0,0.28125,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.05191449980751658,-0.15574349942254972,0.925531914893617
26,flip_h,flip_v,flip_v,0,0.125,0.0,0.0,0.0,0.0,1.0,1.0,-0.22688027106644704,-0.22688027106644704,0.9843400447427293
27,rotate|flip_h,rotate,rotate,0,0.125,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,-0.8371978557642055,-0.8647015394440754,0.9680589680589681
28,flip_h|rotate|flip_v,flip_v,flip_v,0,0.34375,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.06709641404934708,-0.20128924214804123,0.9716312056737588
29,flip_h|rotate|flip_v,rotate,rotate,1,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.08004471695649507,-0.2401341508694852,0.9337539432176656
30,flip_v|rotate|flip_h,rotate,rotate,1,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.12537191836725756,-0.37611575510177264,0.9693251533742331
31,rotate,rotate,rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7446452040510332,0.7446452040510332,0.9366602687140115
32,flip_h|flip_v,flip_h,flip_h,0,0.3125,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,-0.05252112741087123,-0.32674052064953774,0.9715099715099715
33,flip_h|rotate|flip_v,flip_v,flip_v,0,0.15625,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.23779897500347205,-0.7133969250104162,0.9043927648578811
34,flip_v,flip_v,flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.08775966912554001,-0.08775966912554001,0.9861111111111112
35,rotate|flip_h|flip_v,flip_h,flip_h,0,0.21875,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.04762227280657102,-0.14286681841971305,0.9287833827893175
36,rotate|flip_h|flip_v,rotate,rotate,0,0.09375,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.10808646931975859,-0.32425940795927577,0.9260355029585798
37,rotate,flip_v,flip_v,0,0.21875,0.0,0.0,0.0,0.0,1.0,1.0,0.0257854318216868,0.0257854318216868,0.981941309255079
38,rotate|flip_v,flip_h,flip_h,0,0.125,0.0,0.0,0.0,0.0,1.0,1.0,-0.30193527500677186,-0.4980775908912429,0.9441747572815534
39,rotate|flip_v|flip_h,rotate,rotate,0,0.1875,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.07413314599692011,-0.22239943799076034,0.9776119402985075
40,flip_h|rotate|flip_v,flip_h,flip_h,0,0.3125,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.07248454599082788,-0.21745363797248363,0.9401709401709402
41,flip_v|flip_h,flip_v,flip_v,0,0.21875,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,0.0,-0.07376142172158939,0.9805352798053528
42,flip_v|rotate,flip_v,flip_v,0,0.140625,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,0.0,-0.16515184576192787,0.9540816326530612
43,rotate,rotate,rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.019378915538244,-0.019378915538244,0.995049504950495
44,rotate,rotate|flip_v,flip_v|rotate,0,0.21875,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,0.11378384371820438,0.11378384371820438,0.9343065693430657
45,rotate|flip_v,flip_v,flip_v,0,0.171875,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,-0.0020111925473083048,-0.07123666481083735,0.954337899543379
46,rotate,rotate,rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.42357021435604114,0.42357021435604114,0.9489603024574669
47,flip_v,flip_v,flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0124532616881448,2.0124532616881448,0.9406130268199234
48,flip_h,flip_h,flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.005376119288273529,0.005376119288273529,0.9908883826879271
49,flip_h|rotate,rotate,rotate,0,0.125,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,-0.2332654470554738,-0.23979183601971243,0.9808153477218226
50,flip_v,flip_h|rotate,flip_h|rotate,0,0.234375,0.0,0.0,0.0,0.0,1.0,1.0,0.014147026852153743,0.014147026852153743,0.9936908517350158
51,flip_v|rotate,rotate,rotate,0,0.1875,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,0.0,-0.15151259472948464,0.9705159705159705
52,flip_v,rotate,rotate,0,0.1875,0.0,0.0,0.0,0.0,1.0,1.0,1.443417288481208,1.443417288481208,0.9414141414141414
53,flip_h|flip_v,flip_v,flip_v,0,0.125,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,0.0,-0.2470932658772771,0.955456570155902
54,flip_h,flip_v,flip_v,0,0.15625,0.0,0.0,0.0,0.0,1.0,1.0,0.6577189595632742,0.6577189595632742,0.949468085106383
55,flip_h|rotate|flip_v,rotate,rotate,1,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.20686200804724772,-0.6205860241417431,0.9078212290502793
56,flip_h|flip_v,flip_v,flip_v,0,0.15625,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,-0.4411051861643007,-0.4666498408988877,0.953810623556582
57,flip_v|rotate|flip_h,rotate,rotate,1,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.14085499522265366,-0.42256498566796097,0.9536231884057971
58,rotate,rotate,rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.25733457179926855,-0.25733457179926855,0.9719222462203023
59,flip_h|flip_v|rotate,rotate,rotate,0,0.09375,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.055779076420657304,-0.16733722926197192,0.9463806970509383
60,rotate,flip_h,flip_h,0,0.21875,0.0,0.0,0.0,0.0,1.0,1.0,1.9460248866706955,1.9460248866706955,0.9544554455445544
61,flip_h|rotate,rotate,rotate,0,0.0625,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,-0.14367130026294594,-0.16124885241928233,0.9621451104100947
62,flip_v|rotate|flip_h,rotate,rotate,1,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.03704413167761741,-0.11113239503285222,0.9024390243902439
63,flip_v|flip_h|rotate,rotate,rotate,0,0.21875,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.030820778079733675,-0.09246233423920103,0.9586206896551724
64,flip_h|flip_v|rotate,rotate,rotate,0,0.09375,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.300110285838653,-0.900330857515959,0.8846153846153846
65,flip_v,rotate,rotate,0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.5421444576151107,1.5421444576151107,0.9354838709677419
66,rotate,rotate,rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8675213292812751,0.8675213292812751,0.9453551912568307
67,flip_v|rotate,rotate,rotate,0,0.1875,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,0.0,-0.06861467831024015,0.9597989949748744
68,flip_h|rotate|flip_v,flip_h,flip_h,0,0.3125,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.10768027405870988,-0.3230408221761296,0.96875
69,rotate,flip_v,flip_v,0,0.1875,0.0,0.0,0.0,0.0,1.0,1.0,-0.11210802713195545,-0.11210802713195545,0.987012987012987
70,flip_v|flip_h|rotate,flip_v,flip_v,0,0.375,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-0.1706965546589423,-0.5120896639768269,0.9395604395604396
